,Player,Country,Matches,Active
679,Daniel Bachmann,Austria,4,True
680,Milan Badelj,Croatia,4,True
681,Federico Balzaretti,Italy,4,False
682,Anatoliy Banishevskiy,USSR,4,False
683,Franco Baresi,Italy,4,False
684,Jozef Barmoš,CSSR,4,False
685,Julian Baumgartlinger,Austria,4,False
686,Christoph Baumgartner,Austria,4,True
687,Mikkel Beck,Denmark,4,False
688,Franz Beckenbauer,Germany,4,False
689,Igor Belanov,USSR,4,False
690,Miodrag Belodedici,Romania,4,False
691,Romeo Benetti,Italy,4,False
692,Bento,Portugal,4,False
693,Aleksey Berezutskiy,Russia,4,False
694,Giuseppe Bergomi,Italy,4,False
695,Bernardo Silva,Portugal,4,True
696,Jens Bertelsen,Denmark,4,False
697,Roberto Bettega,Italy,4,False
698,Oliver Bierhoff,Germany,4,False
699,Slaven Bilić,Croatia,4,False
700,Daley Blind,Netherlands,4,True
701,Zvonimir Boban,Croatia,4,False
702,Winston Bogarde,Netherlands,4,False
703,René Bolf,Czech Republic,4,False
704,Jan Bořil,Czech Republic,4,True
